D:\Simulator_Data\IMG\center_2019_03_29_23_51_42_401.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_42_401.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_42_401.jpg, 0, 0, 0, 7.894893E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_42_504.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_42_504.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_42_504.jpg, 0, 0, 0, 7.832654E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_42_604.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_42_604.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_42_604.jpg, 0, 0, 0, 7.804363E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_42_706.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_42_706.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_42_706.jpg, 0, 0, 0, 7.898763E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_42_806.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_42_806.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_42_806.jpg, 0, 0, 0, 8.093808E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_42_909.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_42_909.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_42_909.jpg, 0, 0, 0, 7.970458E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_009.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_009.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_009.jpg, 0, 0, 0, 7.911292E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_110.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_110.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_110.jpg, 0, 0, 0, 7.899963E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_211.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_211.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_211.jpg, 0, 0, 0, 7.802941E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_313.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_313.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_313.jpg, 0, 0, 0, 7.844169E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_414.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_414.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_414.jpg, 0, 0, 0, 8.060558E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_514.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_514.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_514.jpg, 0, 0, 0, 7.825604E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_615.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_615.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_615.jpg, 0, 0, 0, 7.811929E-05
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_716.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_716.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_716.jpg, 0, 0.06131475, 0, 0.02780093
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_817.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_817.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_817.jpg, 0, 0.3602614, 0, 0.2903383
D:\Simulator_Data\IMG\center_2019_03_29_23_51_43_919.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_43_919.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_43_919.jpg, -0.01750538, 0.6583273, 0, 0.8395414
D:\Simulator_Data\IMG\center_2019_03_29_23_51_44_019.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_44_019.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_44_019.jpg, -0.2662148, 0.9604599, 0, 1.826645
D:\Simulator_Data\IMG\center_2019_03_29_23_51_44_121.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_44_121.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_44_121.jpg, 0, 1, 0, 2.92896
D:\Simulator_Data\IMG\center_2019_03_29_23_51_44_222.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_44_222.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_44_222.jpg, 0, 1, 0, 4.32314
D:\Simulator_Data\IMG\center_2019_03_29_23_51_44_326.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_44_326.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_44_326.jpg, 0, 1, 0, 5.485639
D:\Simulator_Data\IMG\center_2019_03_29_23_51_44_428.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_44_428.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_44_428.jpg, -0.08239856, 1, 0, 6.635831
D:\Simulator_Data\IMG\center_2019_03_29_23_51_44_531.jpg, D:\Simulator_Data\IMG\left_2019_03_29_23_51_44_531.jpg, D:\Simulator_Data\IMG\right_2019_03_29_23_51_44_531.jpg, -0.3810099, 1, 0, 7.743054
